,feature_names,releative_feature_importance,feature_importance
0,Windspeed,32.523531133354226,0.020713327215332086
1,RH_8,36.80161910217328,0.023437921773985272
2,RH_out,42.51081206122006,0.02707394706937299
3,RH_6,48.575460686681964,0.030936352135727516
4,Appliances,49.73115174734043,0.03167237944472728
5,RH_9,50.34297756613747,0.03206203419443972
6,Visibility,53.21741987349322,0.033892686094743184
7,RH_5,55.4522444236905,0.035315983337200985
8,RH_1,57.04379987576852,0.03632960048489223
9,RH_4,57.99770801325974,0.03693711789449356
10,RH_3,60.66397023315422,0.038635185720404204
11,RH_7,61.99629725282124,0.03948370753075245
12,T6,62.394202116358535,0.03973712200795747
13,T4,66.52967161143192,0.04237088685007302
14,T7,70.00382267342333,0.04458347648086875
15,T9,71.68463594763274,0.04565393943871372
16,T8,74.86293089523772,0.047678106586083034
17,RH_2,76.94281699934542,0.04900272786623744
18,Press_mm_hg,83.33512504210844,0.05307381005002779
19,T_out,85.25004958647673,0.054293371927166455
20,T2,87.92512784187247,0.05599705443948155
21,T3,89.98982356990133,0.05731200139402369
22,T5,94.39896040571097,0.060120057310302656
23,T1,100.0,0.06368720275299293
