"n_estimators","root_mean_square_error","r2_score","mean_absolute_error","mean_absolute_percentage_error"
1,71.90227159662624,0.5081319642156839,21.815556118571067,0.20036704158212684
2,56.504930717046555,0.6962361617057597,19.768431720293894,0.18728039300747729
3,51.01714066590835,0.7523743623855822,19.01798834557892,0.18056352670956155
4,47.79098263566032,0.7827022153616754,18.402964276665823,0.17627633483448016
5,45.90129196442122,0.7995467058899279,18.11816569546491,0.17508200634975618
6,44.33247197473165,0.8130147821333628,17.755426061988008,0.17147680598406467
7,43.389572184203615,0.8208841103776389,17.47323464475732,0.16780621015657468
8,42.774735523592085,0.825924342483108,17.29218393716747,0.1656142269966963
9,42.13174722107958,0.831118406536227,17.152549052726403,0.1639719497712665
10,41.81729536979395,0.8336299071102125,17.09034709906258,0.16318782927420405
11,41.21801297786727,0.8383642280836957,16.975055853697857,0.16309412499172568
12,40.80678167923224,0.8415734126236991,16.859344649945108,0.16231065880830373
13,40.69038624905847,0.8424759014322113,16.8098848200191,0.1616778760911449
14,40.387982731036296,0.8448085817293703,16.737594556444318,0.16166002628728418
15,40.163962576844504,0.8465254086045217,16.645958956169242,0.16090712528686532
16,39.99235674656046,0.8478340877564807,16.588579934127186,0.1602969199357527
17,39.810951781400895,0.8492114032883843,16.506475506341374,0.15939034011675646
18,39.60722959820903,0.8507506975053751,16.419587309630376,0.15840623547427404
19,39.58728620451544,0.8509009624060835,16.416145506913978,0.15840965353885364
20,39.45492628953696,0.8518963195688198,16.383430453508993,0.15798026018925526
21,39.36305180838795,0.852585263006226,16.344613751251703,0.15745977347035145
22,39.20112803232739,0.8537955784708107,16.279729138355947,0.15706977987209902
23,38.97873361408781,0.8554497561592518,16.201584031900946,0.15659590112282448
24,38.97819898067872,0.8554537214424967,16.181572502322442,0.15652424563002879
25,38.876850488781024,0.8562044232368272,16.146744362807194,0.15657182387404095
26,38.7706574807405,0.8569889121732683,16.136832258190253,0.15688200219626536
27,38.788956608607464,0.8568538824400389,16.137507154988786,0.15691799047809185
28,38.64516983418037,0.8579131720753032,16.07370878424844,0.15612530822638304
29,38.69757490930768,0.857527554955525,16.072355258904626,0.15619953690523267
30,38.65409374811993,0.8578475433289836,16.064859386876105,0.1561471062394239
31,38.61431127488901,0.8581399970188175,16.052256920323316,0.15605206732655913
32,38.56069078546151,0.8585337019023213,16.00862997213073,0.15555216421918744
33,38.483939326979566,0.8590962923964239,15.988360933889183,0.15561103082966804
34,38.389596842564224,0.859786289942309,15.942786032578729,0.1550605372010239
35,38.37216655513423,0.8599135853891947,15.921908139997827,0.15480384514289092
36,38.33878863685427,0.8601571869215617,15.89796751400501,0.15439834596058655
37,38.30038375332543,0.8604372143917345,15.86667944864043,0.15419226265822458
38,38.21212489803733,0.861079686251434,15.845518915098744,0.153892506671683
39,38.20439223765024,0.861135904790405,15.831446148649087,0.15367610112929123
40,38.179133039466734,0.8613194667295396,15.819255130478846,0.15350514261386936
41,38.156276833160675,0.8614854611794891,15.796474012371238,0.15313721585220472
42,38.183144365847866,0.8612903239983625,15.794370649197099,0.15313807674347307
43,38.111963544282254,0.8618070056821742,15.772308671289942,0.15293520424531792
44,38.10310074843195,0.8618712707461647,15.768639012368427,0.15276724169163086
45,38.0779295784993,0.8620537080401904,15.75213805140332,0.15257215935514945
46,38.0493490805041,0.862260709532011,15.734338683204633,0.15229657768055593
47,38.018319986217485,0.862485269628279,15.718773752216874,0.15216821788234794
48,38.054751561169645,0.8622215926114867,15.715501224558738,0.15212424957785967
49,38.058091873589746,0.8621974041406695,15.711731462283415,0.15205170528986872
50,38.02181574785882,0.8624599796722459,15.682482898403853,0.15171464218007955
51,38.000005116458226,0.862617729859744,15.66863887688341,0.15157814758674162
