,feature_names,releative_feature_importance,feature_importance
0,Windspeed,29.37879731577221,0.01867925852309428
1,RH_8,37.44473476344897,0.023807641730781804
2,RH_out,38.34995680352501,0.024383188657554927
3,Visibility,44.743079346721686,0.028447983668414067
4,RH_9,47.702378377309444,0.030329528070839783
5,RH_3,50.90144933113764,0.03236352125095537
6,RH_4,53.72780991110147,0.034160542394645416
7,RH_1,55.85133724837452,0.03551069691892496
8,Appliances,56.82146664083153,0.03612751242460355
9,T9,62.44240895429789,0.0397013494843075
10,RH_5,62.96461291427876,0.04003337065812967
11,T6,64.17945996822183,0.04080577947877392
12,RH_6,66.22535712980465,0.04210657615816535
13,T4,67.21783477638338,0.042737600850550686
14,Press_mm_hg,69.91353341112452,0.044451546154623746
15,RH_7,71.54926793328177,0.04549155836772145
16,T8,75.07518945161337,0.04773336557531939
17,T7,77.45289809128091,0.04924513046806062
18,T5,77.90930779852584,0.049535319165114645
19,T3,85.55747690165198,0.05439808214244519
20,T_out,87.95871515576748,0.0559248073396025
21,T2,90.48369294236235,0.057530207054707766
22,T1,98.95242075458583,0.06291468738131786
23,RH_2,100.0,0.06358074608134552
